adult,genre_ids,id,original_language,original_title,overview,popularity,release_date,title,video,vote_average,vote_count
FALSE,"c(12, 28, 878)",299536,en,Avengers: Infinity War,"As the Avengers and their allies have continued to protect the world from threats too large for any one hero to handle, a new danger has emerged from the cosmic shadows: Thanos. A despot of intergalactic infamy, his goal is to collect all six Infinity Stones, artifacts of unimaginable power, and use them to inflict his twisted will on all of reality. Everything the Avengers have fought for has led up to this moment - the fate of Earth and existence itself has never been more uncertain.",318.945,4/25/18,Avengers: Infinity War,FALSE,8.3,22289
FALSE,"c(878, 28)",335983,en,Venom,"Investigative journalist Eddie Brock attempts a comeback following a scandal, but accidentally becomes the host of Venom, a violent, super powerful alien symbiote. Soon, he must rely on his newfound powers to protect the world from a shadowy organization looking for a symbiote of their own.",251.64,9/28/18,Venom,FALSE,6.8,11082
FALSE,"c(28, 878, 53, 27, 80)",442249,en,The First Purge,"To push the crime rate below one percent for the rest of the year, the New Founding Fathers of America test a sociological theory that vents aggression for one night in one isolated community. But when the violence of oppressors meets the rage of the others, the contagion will explode from the trial-city borders and spread across the nation.",243.619,7/4/18,The First Purge,FALSE,6,2995
FALSE,"c(27, 18, 878)",447332,en,A Quiet Place,A family is forced to live in silence while hiding from creatures that hunt by sound.,241.717,4/3/18,A Quiet Place,FALSE,7.4,10412
FALSE,"c(28, 35, 16)",347201,ja,BORUTO -NARUTO THE MOVIE-,"The spirited Boruto Uzumaki, son of Seventh Hokage Naruto, is a skilled ninja who possesses the same brashness and passion his father once had. However, the constant absence of his father, who is busy with his Hokage duties, puts a damper on Boruto's fire. He ends up meeting his father's friend Sasuke, and requests to become... his apprentice!? The curtain on the story of the new generation rises!",230.191,8/7/15,Boruto: Naruto the Movie,FALSE,7.7,840
FALSE,"c(28, 27, 53)",316727,en,The Purge: Election Year,"Two years after choosing not to kill the man who killed his son, former police sergeant Leo Barnes has become head of security for Senator Charlene Roan, the front runner in the next Presidential election due to her vow to eliminate the Purge. On the night of what should be the final Purge, a betrayal from within the government forces Barnes and Roan out onto the street where they must fight to survive the night.",215.321,6/29/16,The Purge: Election Year,FALSE,6.4,4108
FALSE,"c(10751, 14, 35, 16)",400155,en,Hotel Transylvania 3: Summer Vacation,"Dracula, Mavis, Johnny and the rest of the Drac Pack take a vacation on a luxury Monster Cruise Ship, where Dracula falls in love with the ship’s captain, Ericka, who’s secretly a descendant of Abraham Van Helsing, the notorious monster slayer.",202.898,6/28/18,Hotel Transylvania 3: Summer Vacation,FALSE,6.9,3186
FALSE,"c(16, 28, 12, 14)",505262,ja,<U+50D5><U+306E><U+30D2><U+30FC><U+30ED><U+30FC><U+30A2><U+30AB><U+30C7><U+30DF><U+30A2> THE MOVIE ~2<U+4EBA><U+306E><U+82F1><U+96C4>~,"All Might and Deku accept an invitation to go abroad to a floating and mobile manmade city, called 'I-Island', where they research quirks as well as hero supplemental items at the special 'I-Expo' convention that is currently being held on the island. During that time, suddenly, despite an iron wall of security surrounding the island, the system is breached by a villain, and the only ones able to stop him are the students of Class 1-A.",200.054,8/3/18,My Hero Academia: Two Heroes,FALSE,8.1,645
FALSE,"c(27, 9648, 53)",259693,en,The Conjuring 2,Lorraine and Ed Warren travel to north London to help a single mother raising four children alone in a house plagued by malicious spirits.,182.839,5/13/16,The Conjuring 2,FALSE,7.3,6171
FALSE,"c(28, 80, 53)",337339,en,The Fate of the Furious,"When a mysterious woman seduces Dom into the world of crime and a betrayal of those closest to him, the crew face trials that will test them as never before.",181.783,4/12/17,The Fate of the Furious,FALSE,6.9,8391
FALSE,"c(10751, 16, 10402, 35, 18)",335797,en,Sing,A koala named Buster recruits his best friend to help him drum up business for his theater by hosting a singing competition.,177.25,11/23/16,Sing,FALSE,7.1,6123
FALSE,"c(18, 36, 10752)",324786,en,Hacksaw Ridge,"WWII American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people and becomes the first Conscientious Objector in American history to receive the Congressional Medal of Honor.",176.619,10/7/16,Hacksaw Ridge,FALSE,8.2,9784
FALSE,"c(28, 16, 878)",303857,ja,<U+30C9><U+30E9><U+30B4><U+30F3><U+30DC><U+30FC><U+30EB>Z <U+5FA9><U+6D3B><U+306E><U+300C>F<U+300D>,"One peaceful day on Earth, two remnants of Frieza's army named Sorbet and Tagoma arrive searching for the Dragon Balls with the aim of reviving Frieza. They succeed, and Frieza subsequently seeks revenge on the Saiyans.",174.986,4/18/15,Dragon Ball Z: Resurrection 'F',FALSE,6.8,1177
FALSE,"c(28, 878, 27)",345940,en,The Meg,"A deep sea submersible pilot revisits his past fears in the Mariana Trench, and accidentally unleashes the seventy foot ancestor of the Great White Shark believed to be extinct.",172.774,8/9/18,The Meg,FALSE,6.2,5313
FALSE,"c(10751, 16, 14, 10402, 35, 12)",354912,en,Coco,"Despite his family’s baffling generations-old ban on music, Miguel dreams of becoming an accomplished musician like his idol, Ernesto de la Cruz. Desperate to prove his talent, Miguel finds himself in the stunning and colorful Land of the Dead following a mysterious chain of events. Along the way, he meets charming trickster Hector, and together, they set off on an extraordinary journey to unlock the real story behind Miguel's family history.",153.496,10/27/17,Coco,FALSE,8.2,14189
FALSE,"c(28, 12, 878, 18)",315635,en,Spider-Man: Homecoming,"Following the events of Captain America: Civil War, Peter Parker, with the help of his mentor Tony Stark, tries to balance his life as an ordinary high school student in Queens, New York City, with fighting crime as his superhero alter ego Spider-Man as a new threat, the Vulture, emerges.",151.889,7/5/17,Spider-Man: Homecoming,FALSE,7.4,16501
FALSE,"c(878, 28, 12, 35)",346910,en,The Predator,"When a young child accidentally triggers extraterrestrial hunters to return to Earth, a ragtag crew of ex-soldiers and scientists join forces to prevent the end of the human race.",150.201,9/5/18,The Predator,FALSE,5.6,3411
FALSE,"c(28, 12, 35, 14, 878)",284053,en,Thor: Ragnarok,"Thor is imprisoned on the other side of the universe and finds himself in a race against time to get back to Asgard to stop Ragnarok, the destruction of his home-world and the end of Asgardian civilization, at the hands of a powerful new threat, the ruthless Hela.",148.564,10/25/17,Thor: Ragnarok,FALSE,7.6,16205
FALSE,"c(878, 12, 28)",333339,en,Ready Player One,"When the creator of a popular video game system dies, a virtual contest is created to compete for his fortune.",147.911,3/28/18,Ready Player One,FALSE,7.6,11671
FALSE,"c(28, 12, 878)",284054,en,Black Panther,"King T'Challa returns home to the reclusive, technologically advanced African nation of Wakanda to serve as his country's new leader. However, T'Challa soon finds that he is challenged for the throne by factions within his own country as well as without. Using powers reserved to Wakandan kings, T'Challa assumes the Black Panther mantle to join with ex-girlfriend Nakia, the queen-mother, his princess-kid sister, members of the Dora Milaje (the Wakandan 'special forces') and an American secret agent, to prevent Wakanda from being dragged into a world war.",142.375,2/13/18,Black Panther,FALSE,7.4,17631
FALSE,"c(28, 12, 878)",99861,en,Avengers: Age of Ultron,"When Tony Stark tries to jumpstart a dormant peacekeeping program, things go awry and Earth’s Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges, it is up to The Avengers to stop him from enacting his terrible plans, and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure.",140.495,4/22/15,Avengers: Age of Ultron,FALSE,7.3,18242
